mip_lower,n
avoir qq un avec une tête sur les épaules,1
avoir quelqu’un qui gère bien le canada,1
avoir un autre chef que trudeau,1
avoir un bon gouvernements fédéral,1
avoir un gouv majoriaire,1
avoir un gouvernement  qui ne pense pas qu'à dépenser comme l'actuel gouvernement.,1
avoir un gouvernement juste  et équitable,1
avoir un gouvernement majoritaire et représentatif,1
avoir un gouvernement majoritaire pour eviter d'etre constamment en election,1
avoir un gouvernement majortaire et sécuritaire,1
avoir un gouvernement qui saura gérer le pays et non son égo,1
avoir un gouvernement à l'écoute des besoins et enjeu important de la société,1
avoir un meilleur chef politique que ceux qui me sont montrés,1
avoir un pays sécurisé,1
avoir un plan de sortie de la crise covid et l'économie,1
avoir une personne qui prend les bonnes decision,1
avoir vraiment un bon ministre  qui tient s'est promesse et être honnêtre,1
avortement,1
bacic income implimentation,1
bad,1
bad behavior of trudeau,1
bad timing for an election and incredibly expensive.,1
"bad timing, expensive and useless",1
baisse des impôts pour personnes âgées,1
baisser les impôts pour la classe moyenne,1
balance,1
balance the budget by eliminating unnecessary unaffordable money on political  projects.,1
balance the budget. cannot spend more money that grand children will have to pay,1
"balanced budget, pay off debt, stop insane spending",1
balanced perspective,1
balancing budget,1
balancing future budgets,1
balancing the budget!,1
"balancing the budget, what it is going to cost us",1
balancing the budget.,1
balancing the budget; eliminating the debt,1
base rate,1
base salary for everyone,1
basic constitutional rights denied because of covid pan(dem)ic,1
battling covid,1
battling the covid 19 pandemic and health care worker shortage,1
battre justin trudeau,1
battre trudeau,1
beat the conservatives,1
beating covid19 and getting back to normal which will be very difficult,1
"because the new party may improve my family income and benefits, it is very import for me.",1
being able to afford to live every day life,1
being able to afford to live when i retire.canada is being destroyed.,1
being able to apply for a pardon,1
being able to buy a home,1
being able to live a healthy and happy lifestyle,1
being able to trust the leaders,1
"being able to vote on real choices, not having the mp vote for me",1
being able to vote safely,1
being canadian.  environment.,1
being forced to get a shot,1
being honest,1
being the right person leading the country,1
being treated fairly when it comes to taxes,1
believe,1
benefiting everyone,1
benefits,1
benefits and security for seniors,1
best for the job.,1
better benefits for the disabled,1
better canadian presence in the world,1
better care for mental health,1
better care for older population,1
better government for the people,1
better health care coverage,1
better health system,1
better job opportunity and living wage affordable housing healthcare,1
better leadership,1
better pension for seniors and affordable rent,1
better spending and holding companies/contracts to responsible spending,1
better wages,1
"bettering the environment, and people’s rights",1
bias in government and media; no longer a dialogue,1
biased news articles/false information,1
bien etre,1
bien gouverner,1
bien gérer la crise de la covid,1
bien gérer la pandémie,1
bien servir les canadiens,1
bien vivre,1
bien être des canadiens,1
bilingualism,1
bilinguisme et santé,1
bill c-6,1
bill c-71,1
"black youth opportunities and crime. have training schools rather than catering to universities.  more scholarships to those wanting to go to trade schools. build trade schools mechanics, hairdressing, dressmaking, barbering, bricklayers, carpenters electricians, graphics, music producers, arts, bus drivers, tractor trailer drivers and repairs for heavy equipments and small engine repairs, chefs, bakers   . rather than sell schools to religious groups sell convert to trade schools",1
blanchard,1
"bnm,bm",1
bnot sure,1
bon premuer ministre,1
bonjour .le plus important pour moi se sortir de cette pandémie,1
bonne gestion,1
bonne gestion des finances,1
bonne gestion des finances publiques,1
bonne représentation des idéologies du peuple,1
booting out the corrupt trudeau liberals who are in china's back pocket.,1
border policy,1
bring back democracy,1
bring back hitler,1
bring canada back together from.coast to coast,1
"bringing all kind of uneducated imigrants, very relaxed rules for imigration now.",1
bringing back jobs,1
bringing canadians together,1
bringing in universal basic income for all,1
bringing the country out of deficit due to covid,1
bringing the date earlier,1
bringing voters for voting.,1
brocken promises,1
broken promises of proportional voting,1
budget  (dépenses démesurées de m. trudeau lors de la pandémie)  avenir pour les jeunes hypothéqué,1
budget and deficit in canada,1
budget and finances,1
budget and the colossal overspending of the current government,1
budget and vaccines,1
budget deficet,1
budget deficits,1
budget dificit,1
budget et santé,1
budget for childcare,1
"budget for covid recovery, housing, seniors, etc.etc.",1
budget under control,1
"budget, economy",1
"budget, inflation, housing",1
"budget, la dette",1
budget/economy,1
budget/trudeau needing to be gone from office,1
budjet,1
buget,1
build a new trans canada highway and high speed passenger rail system coast to coast,1
building a bridge between ladner and richmond,1
building back the economy,1
building oil and gas pipelines,1
"bureaucratic overreach by federal and provincial governments in dealing with covid. also the lying and deceit to push for people's compliance to ""mandated"" orders",1
business concerns,1
bye felicia,1
c'est d'avoir le choix de me faire vacciner ou pas et ne pas avoir à produire un passeport vaccinal dans les endroits où je vais,1
c'est d'avoir un gouvernement majoritaire,1
"c'est d'élire un chef qui se souciera de l'environnement, de la santé et qui aidera à diminuer la dette sans dilapider l'argent des canadiens.",1
c'est difficile de choisir un candidat,1
c-19,1
calling an early election,1
calling an election in the middle of a pandemic - money could be used to help people struggling and putting a lot of people at risk of contracting the covid virus,1
calling an election midway through the pandemic involving additional unnecessary expenditure on the exchequer,1
calling of an election during a pandemic.,1
can't name just one,1
canada debt,1
canada moving away from being a socialist nation,1
canada needs a leader that is honest with its people and a little less posturing on the world stage.,1
canada stays liberal,1
canada's deficit spending,1
canada's economic recovery from the pandemic,1
canada's economy,1
canada's economy and competitive position in an increasingly competitive world,1
canada's finances,1
canada's future,1
canada’s debt,1
canada’s economy after the pandemic,1
canada’s economy and jobs,1
"canadian charter of rights and freedoms, nuremberg code, universal declaration on bioethics and human rights, and the helsinki declaration.",1
canadian citizen worker in election day,1
"canadian culture, identity, progressiveness, diversity, taking care of each other vs far right influences",1
canadian debt,1
"canadian debt - like the environmental issues its a legacy that hurts the future of all canadians and may well prevent addressing environmental problems . wages that keep up with inflation would be a very close second, because low wages and lack of jobs is what got donal trump elected.",1
canadian debt load,1
canadian economic recover,1
canadian economic reform,1
"canadian economy, and plans on how to deal with post covid- economy",1
canadian health system,1
canadian jobs,1
canadian pension  health care,1
canadian self sufficiency,1
canadian society recovering from covid dislocations.,1
canadian unity,1
"canadian values: will not be bullied, démocratie, respect and freedom of speech",1
canadian way of life,1
canadian welfare,1
canadians,1
canadians constitution & charter of rights,1
canadian’s freedoms - ie ability to make own health decisions,1
cancel-culture,1
candidate,1
candidate integrity,1
candidates are focusing on attacking their rivals more than sharing their ideas,1
candidates are hard to trust,1
cannot afford a home or the cost of living,1
capital gains tax,1
capitalism,1
carbon,1
carbon emissions/ environmental protection,1
carbon tax and bringing industry to canada,1
carbon tax and debt in canada,1
care and help for senior citizens,1
care for elderly,1
care of elders and high cost of living,1
care of seniors,1
career opportunities,1
caring for others,1
caring governing party,1
catholic church accountability,1
ccb and support for the middle class,1
"ce qui pour moi serait l’enjeu principal de cette campagne n’a été soulevé par aucun des candidats. il s’agit du mode de scrutin que le gouvernent sortant actuel avait promis de revoir lors de la campagne électorale de 2015. avec le mode de scrutin toujours en vigueur, des milliers de votes seront encore perdus et, bien entendu, la démocratie ne pourra jamais s’exprimer pleinement en politique canadienne.",1
censure,1
centralisation des pouvoirs,1
centralisation du gouvernement fédéral (non respect des champs de compétence),1
centralisation du gouvernement fédérale,1
centralisation fédérale des pouvoirs ao dépend des provinces grâce au pouvoir de dépenser du fédéral,1
cessation de la pcre immédiate,1
cessation de l’état d’urgence,1
cesser de vider les coffres de l'état,1
cesser les dépenses excessives de trudeau comme la pcu,1
champs de compétence,1
